window_id,label
0,WALKING_DOWNSTAIRS
1,WALKING_DOWNSTAIRS
2,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
4,WALKING_DOWNSTAIRS
5,WALKING_DOWNSTAIRS
6,WALKING
7,WALKING
8,WALKING
9,WALKING
10,WALKING
11,WALKING
12,WALKING
13,WALKING
14,WALKING
15,WALKING
16,WALKING
17,WALKING
18,WALKING
19,WALKING
20,WALKING
21,WALKING
22,WALKING
23,WALKING
24,WALKING
25,WALKING
26,WALKING
27,WALKING
28,WALKING
29,WALKING
30,WALKING
31,WALKING
32,STANDING
33,STANDING
34,STANDING
35,STANDING
36,STANDING
37,SITTING
38,SITTING
39,SITTING
40,SITTING
41,SITTING
42,WALKING_DOWNSTAIRS
43,WALKING_DOWNSTAIRS
44,WALKING_DOWNSTAIRS
45,WALKING_DOWNSTAIRS
46,WALKING_DOWNSTAIRS
47,WALKING_DOWNSTAIRS
48,WALKING_DOWNSTAIRS
49,WALKING_UPSTAIRS
50,WALKING_UPSTAIRS
51,WALKING_UPSTAIRS
52,WALKING_UPSTAIRS
53,WALKING_UPSTAIRS
54,WALKING_UPSTAIRS
55,WALKING_UPSTAIRS
56,WALKING_UPSTAIRS
57,WALKING_UPSTAIRS
58,WALKING_UPSTAIRS
59,WALKING_UPSTAIRS
60,WALKING_UPSTAIRS
61,WALKING_UPSTAIRS
62,WALKING_UPSTAIRS
63,WALKING_UPSTAIRS
64,WALKING_UPSTAIRS
65,WALKING_UPSTAIRS
66,WALKING_UPSTAIRS
67,WALKING_UPSTAIRS
68,WALKING_UPSTAIRS
69,WALKING_UPSTAIRS
70,WALKING_UPSTAIRS
71,WALKING_UPSTAIRS
72,WALKING_UPSTAIRS
73,WALKING_UPSTAIRS
74,WALKING_UPSTAIRS
75,WALKING_UPSTAIRS
76,WALKING_UPSTAIRS
77,WALKING_DOWNSTAIRS
78,WALKING_DOWNSTAIRS
79,WALKING_DOWNSTAIRS
80,WALKING_DOWNSTAIRS
81,WALKING_DOWNSTAIRS
82,WALKING_DOWNSTAIRS
83,WALKING_DOWNSTAIRS
84,WALKING_DOWNSTAIRS
85,WALKING_DOWNSTAIRS
86,WALKING_DOWNSTAIRS
87,WALKING_DOWNSTAIRS
