timestamp,label
1767182183702,STANDING
1767182197313,WALKING
1767182202188,STANDING
1767182210924,WALKING
1767182215877,STANDING
1767182229020,WALKING
1767182232452,WALKING_DOWNSTAIRS
1767182264060,WALKING
1767182289044,SITTING
1767182296208,CUTOUT
1767184573475,STANDING
1767184599995,WALKING
1767184603193,STANDING
1767184606469,WALKING
1767184617350,STANDING
1767184629791,WALKING
1767184640559,STANDING
1767184642041,SITTING
1767184650591,STANDING
1767184660509,WALKING
1767184682017,STANDING
1767184692630,WALKING
1767184699455,STANDING
1767184703433,WALKING
1767184706787,STANDING
1767184728510,WALKING
1767184731630,STANDING
1767184745865,WALKING
1767184750935,STANDING
1767184758033,WALKING
1767184761387,STANDING
1767187396650,WALKING
1767187401685,STANDING
1767187405501,WALKING
1767187406879,STANDING
1767188007181,WALKING
1767188034080,STANDING
1767188038194,WALKING
1767188048258,WALKING_DOWNSTAIRS
1767188059852,STANDING
1767188309889,WALKING
1767188328657,STANDING
1767188333695,SITTING
